Cycle,Water_Pressure_Bar,Motor_Temperature_C,Battery_Voltage_V,Propulsion_RPM,Sonar_Signal_Strength_dB,Internal_Vibration_mm_s,RUL
1,102.48357076505616,59.198066309758005,23.32482172502562,2713.828866318391,65.68253197517532,0.04576240317977297,187.85918641766912
2,99.30867849414408,57.77390104873831,23.855481329284483,2870.942248383075,69.84398255530458,0.045465858916161464,191.6906916626221
3,103.23844269050346,55.17889110976052,23.20758007900004,2937.9591699867533,70.09008436022224,0.03204356827369985,187.57939816425755
4,107.61514928204012,53.05918966688328,23.69203847036096,3283.1531486010285,72.36315172921702,0.04669909808298563,190.52004181258863
5,98.82923312638331,57.09466994084077,22.106385333046216,3083.4829686800635,63.16570818359587,0.057328290818217456,192.85849689288813
6,98.8293152152541,56.18045615626525,24.213293707372937,2799.6777646350165,72.96283636923665,0.03725767880923205,202.37154486331383
7,107.89606407753696,57.6855796600832,24.001205475362223,3072.9054434126456,56.478041841986126,0.06048482651050593,189.78840961294298
8,103.83717364576455,56.90551540504591,23.18291136893181,2767.904401659245,66.85057723818095,0.05487774821084339,176.14374293230406
9,97.65262807032524,58.148658145958,24.659245668432405,3162.403658083061,67.55863078774227,0.04265766678028962,202.4006784649516
10,102.71280021792982,53.394294365318295,24.937570137626558,2929.3313022273182,73.16663413035619,0.048584703626621525,181.62909866384962
11,97.68291153593769,58.952182196902974,22.392440135631027,2985.9545716891244,70.11315426338435,0.06598321807641033,188.4127957289537
12,97.67135123214871,55.5927988140772,23.237275221433787,3198.8694971313284,62.97218473071857,0.05733547813505866,192.4653650694071
13,101.20981135783018,61.225782617875794,23.2308576502127,2806.9254647123626,65.07503437091492,0.05008783654898148,188.9961041840278
14,90.43359877671101,52.9324365457313,23.060096898891135,2790.432272233051,70.99340004773704,0.04762316683039016,196.94179547521475
15,91.37541083743484,60.207891409495744,24.82947484193175,2912.460101048099,69.60466329067722,0.0507660907045166,189.7900314339276
16,97.18856235379513,55.593732350387945,23.806173861227197,3155.7568276528973,67.10437945182127,0.04488236442057697,175.3869042030289
